X,Y,OBJECTID,FeatureID,StoreName,StoreAddress,StoreCityStateZip,StorePhone,StoreWebsite,City,HoursDays,HoursDaysSeniors,LinkName,StoreName_Easy
-84.2134688282859,33.9858231763289,25,GROCERY_14,Ingles,5075 Peachtree Pkwy,"Peachtre Corners, GA 30092",770-448-7876,https:www.ingles-markets.com,Peachtree Corners,07:00:00,no special senior hours,Ingles@MedlockJones,Ingles @ Medlock Bridge & E. Jones Bridge 
-84.2141197735919,33.9813127049079,26,GROCERY_26,Sprouts,5130 Peachtree Pkwy #100,"Peachtree Corners, GA  30092",678-690-1249,https://www.sprouts.com,Peachtree Corners,07:00:00,no special senior hours,Sprouts@PTreeMedlock,Sprouts @ Peachtree Pkwy & Medlock Bridge
-84.2197191856585,33.9792108314742,27,GROCERY_28,Trader Joe's,"5185 Peachtree Pkwy, #101","Peachtree Corners, GA  30092",678-966-9236,https://www.traderjoes.com,Peachtree Corners,09:00:00,9:00 am to 10:00 am (7 days a week),TraderJoes@PTree,Trader Joes @ Peachtree Pkwy & Peachtree Corners Cir
-84.2948739859579,34.0049179382278,28,GROCERY_17,Kroger,2300 Holcomb Bridge Rd,"Roswell, GA  30076",678-352-7488,https://www.kroger.com,Roswell,08:00:00,7:00 am to 8:00 am Monday through Thursday,Kroger@HolcombEvesOldScott,Kroger @ Holcomb Bridge Rd & Eves/Old Scott
-84.3197408972263,34.0177994800103,29,GROCERY_18,Publix,"1425 Market Blvd, #600","Roswell, GA  30076",770-640-6035,https://www.publix.com,Roswell,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@OldAlabamaHolcomb,Publix @ Old Alabama & Holcomb Bridge Rd
-84.2865752730064,34.0464796535324,30,GROCERY_27,Target,6000 North Point Pkwy,"Alpharetta, GA  30022",770-664-5395,https://www.target.com,Alpharetta,08:00:00,8:00 am to 9:00 am Tuesday and Wednesday,Target@NorthPointHaynes,Target @ North Point & Haynes Bridge
-84.2349672422918,34.0575427849582,31,GROCERY_22,Publix,4305 State Bridge Rd,"Alpharetta, GA  30022",770-751-7991,https://www.publix.com,Alpharetta,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@OldMiltonStateKimball,Publix @ Old Milton & State Bridge/Kimball Bridge
-84.2067389484179,34.0931852646599,32,GROCERY_23,Publix,5180 McGinnis Ferry Rd,"Alpharetta, GA  30005",770-360-1025,https://www.publix.com,Suwanee,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@McGinnisWindward,Publix @ McGinnis Ferry & Windward Pkwy
-84.1887493305556,34.0148186307926,33,GROCERY_29,Target,5950 State Bridge Rd,"Johns Creek, GA 30097",770-476-5548,https://www.target.com,Johns Creek,08:00:00,8:00 am to 9:00 am Tuesday and Wednesday,Target@StateMedlock,Target @ State Bridge & Medlock Bridge
-84.1656673870281,34.0694549343875,34,GROCERY_30,Kroger,3651 Peachtree Industrial Blvd,"Suwanee, GA  30024",770-418-2377,https://www.kroger.com,Suwanee,08:00:00,7:00 am to 8:00 am Monday through Thursday,Kroger@PTreeJCPkwy,Kroger @ Peachtree Pkwy & Johns Creek Pkwy
-84.1594222389858,34.0842367848897,35,GROCERY_31,Publix,3245 Peachtree Pkwy,"Suwanee, GA  30024",770-886-5335,https://www.publix.com,Suwanee,08:00:00,7:00 am to 8:00 am Tuesday and Wednesday,Publix@PTreeLaurelSprings,Publix @ Peachtree Pkwy & Laurel Springs Pkwy
